step,status,elapsed_seconds,details_json
load_json_config,PASS,0.000082743,{}
load_golden_data,PASS,0.004183698,{}
pcie_h2c_write_mskf_r,PASS,0.005696124,"{""address"": ""0x40000000"", ""bytes"": 4194304, ""mib_per_second"": 702.2319040242478}"
pcie_h2c_write_mskf_i,PASS,0.008422525,"{""address"": ""0x40400000"", ""bytes"": 4194304, ""mib_per_second"": 474.91696356963325}"
pcie_h2c_write_scales,PASS,0.000184810,"{""address"": ""0x40800000"", ""bytes"": 40, ""mib_per_second"": 0.20641184266530047}"
pcie_h2c_write_krn_r,PASS,0.000141580,"{""address"": ""0x40880000"", ""bytes"": 11560, ""mib_per_second"": 77.86746091331204}"
pcie_h2c_write_krn_i,PASS,0.000172024,"{""address"": ""0x40900000"", ""bytes"": 11560, ""mib_per_second"": 64.08684454352654}"
pcie_h2c_clear_tmpImg_ddr,PASS,0.000211429,"{""address"": ""0x40980000"", ""bytes"": 65536}"
pcie_h2c_clear_output,PASS,0.000166233,"{""address"": ""0x40990000"", ""bytes"": 65536}"
hls_configure_axilite,PASS,0.001078143,{}
fpga_compute,PASS,0.020511780,"{""ap_ctrl"": ""0x0000000e""}"
pcie_c2h_read_tmpimgp,PASS,0.000288778,"{""bytes"": 65536}"
save_fpga_tmpimgp,PASS,0.000438414,"{""bytes"": 65536, ""path"": ""/root/project/fpga-litho-accel/experiments/runs/E1_multi_mask/T1/fpga_tmpimgp_full_128.bin""}"
host_fi_inverse_aerial,PASS,0.031741231,"{""input_shape"": [128, 128], ""output_shape"": [1024, 1024]}"
save_host_fi_aerial,PASS,0.002014637,"{""bytes"": 4194304, ""path"": ""/root/project/fpga-litho-accel/experiments/runs/E1_multi_mask/T1/fpga_aerial_fi.bin""}"
load_golden_socs_aerial,PASS,0.000835801,{}
load_golden_tcc_aerial,PASS,0.000817405,{}
compare_against_golden,PASS,0.084515989,{}
