step,status,elapsed_seconds,details_json
load_json_config,PASS,0.000083718,{}
load_golden_data,PASS,0.004335844,{}
pcie_h2c_write_mskf_r,PASS,0.006096880,"{""address"": ""0x40000000"", ""bytes"": 4194304, ""mib_per_second"": 656.0732707673313}"
pcie_h2c_write_mskf_i,PASS,0.008545892,"{""address"": ""0x40400000"", ""bytes"": 4194304, ""mib_per_second"": 468.0611460202752}"
pcie_h2c_write_scales,PASS,0.000117651,"{""address"": ""0x40800000"", ""bytes"": 40, ""mib_per_second"": 0.3242384119066187}"
pcie_h2c_write_krn_r,PASS,0.000115858,"{""address"": ""0x40880000"", ""bytes"": 11560, ""mib_per_second"": 95.15505699378456}"
pcie_h2c_write_krn_i,PASS,0.000104465,"{""address"": ""0x40900000"", ""bytes"": 11560, ""mib_per_second"": 105.53270990804079}"
pcie_h2c_clear_tmpImg_ddr,PASS,0.000167824,"{""address"": ""0x40980000"", ""bytes"": 65536}"
pcie_h2c_clear_output,PASS,0.000140042,"{""address"": ""0x40990000"", ""bytes"": 65536}"
hls_configure_axilite,PASS,0.001125480,{}
fpga_compute,PASS,0.020393863,"{""ap_ctrl"": ""0x0000000e""}"
pcie_c2h_read_tmpimgp,PASS,0.000294558,"{""bytes"": 65536}"
save_fpga_tmpimgp,PASS,0.000497692,"{""bytes"": 65536, ""path"": ""/root/project/fpga-litho-accel/experiments/runs/E1_multi_mask/T10/fpga_tmpimgp_full_128.bin""}"
host_fi_inverse_aerial,PASS,0.033164046,"{""input_shape"": [128, 128], ""output_shape"": [1024, 1024]}"
save_host_fi_aerial,PASS,0.002039220,"{""bytes"": 4194304, ""path"": ""/root/project/fpga-litho-accel/experiments/runs/E1_multi_mask/T10/fpga_aerial_fi.bin""}"
load_golden_socs_aerial,PASS,0.000825839,{}
load_golden_tcc_aerial,PASS,0.000904007,{}
compare_against_golden,PASS,0.086276586,{}
