step,status,elapsed_seconds,details_json
load_json_config,PASS,0.000081048,{}
load_golden_data,PASS,0.004002943,{}
pcie_h2c_write_mskf_r,PASS,0.005708739,"{""address"": ""0x40000000"", ""bytes"": 4194304, ""mib_per_second"": 700.6801334065061}"
pcie_h2c_write_mskf_i,PASS,0.006521259,"{""address"": ""0x40400000"", ""bytes"": 4194304, ""mib_per_second"": 613.3784904493131}"
pcie_h2c_write_scales,PASS,0.000075824,"{""address"": ""0x40800000"", ""bytes"": 40, ""mib_per_second"": 0.5030989319722323}"
pcie_h2c_write_krn_r,PASS,0.000095752,"{""address"": ""0x40880000"", ""bytes"": 11560, ""mib_per_second"": 115.13571333858407}"
pcie_h2c_write_krn_i,PASS,0.000066094,"{""address"": ""0x40900000"", ""bytes"": 11560, ""mib_per_second"": 166.7999414347818}"
pcie_h2c_clear_tmpImg_ddr,PASS,0.000159562,"{""address"": ""0x40980000"", ""bytes"": 65536}"
pcie_h2c_clear_output,PASS,0.000147956,"{""address"": ""0x40990000"", ""bytes"": 65536}"
hls_configure_axilite,PASS,0.001141654,{}
fpga_compute,PASS,0.020256797,"{""ap_ctrl"": ""0x0000000e""}"
pcie_c2h_read_tmpimgp,PASS,0.000142865,"{""bytes"": 65536}"
save_fpga_tmpimgp,PASS,0.000151692,"{""bytes"": 65536, ""path"": ""/root/project/fpga-litho-accel/experiments/runs/E1_multi_mask/T2/fpga_tmpimgp_full_128.bin""}"
host_fi_inverse_aerial,PASS,0.031788772,"{""input_shape"": [128, 128], ""output_shape"": [1024, 1024]}"
save_host_fi_aerial,PASS,0.002007401,"{""bytes"": 4194304, ""path"": ""/root/project/fpga-litho-accel/experiments/runs/E1_multi_mask/T2/fpga_aerial_fi.bin""}"
load_golden_socs_aerial,PASS,0.000865206,{}
load_golden_tcc_aerial,PASS,0.000856496,{}
compare_against_golden,PASS,0.084614354,{}
