step,status,elapsed_seconds,details_json
load_json_config,PASS,0.000064496,{}
load_golden_data,PASS,0.004090101,{}
pcie_h2c_write_mskf_r,PASS,0.005772191,"{""address"": ""0x40000000"", ""bytes"": 4194304, ""mib_per_second"": 692.9777611953955}"
pcie_h2c_write_mskf_i,PASS,0.008374983,"{""address"": ""0x40400000"", ""bytes"": 4194304, ""mib_per_second"": 477.6129097257405}"
pcie_h2c_write_scales,PASS,0.000147060,"{""address"": ""0x40800000"", ""bytes"": 40, ""mib_per_second"": 0.2593973324359026}"
pcie_h2c_write_krn_r,PASS,0.000125022,"{""address"": ""0x40880000"", ""bytes"": 11560, ""mib_per_second"": 88.18028023569721}"
pcie_h2c_write_krn_i,PASS,0.000121896,"{""address"": ""0x40900000"", ""bytes"": 11560, ""mib_per_second"": 90.44164601048668}"
pcie_h2c_clear_tmpImg_ddr,PASS,0.000218144,"{""address"": ""0x40980000"", ""bytes"": 65536}"
pcie_h2c_clear_output,PASS,0.000201982,"{""address"": ""0x40990000"", ""bytes"": 65536}"
hls_configure_axilite,PASS,0.001107633,{}
fpga_compute,PASS,0.020417110,"{""ap_ctrl"": ""0x0000000e""}"
pcie_c2h_read_tmpimgp,PASS,0.000258980,"{""bytes"": 65536}"
save_fpga_tmpimgp,PASS,0.000565568,"{""bytes"": 65536, ""path"": ""/root/project/fpga-litho-accel/experiments/runs/E1_multi_mask/T7/fpga_tmpimgp_full_128.bin""}"
host_fi_inverse_aerial,PASS,0.034461363,"{""input_shape"": [128, 128], ""output_shape"": [1024, 1024]}"
save_host_fi_aerial,PASS,0.002083176,"{""bytes"": 4194304, ""path"": ""/root/project/fpga-litho-accel/experiments/runs/E1_multi_mask/T7/fpga_aerial_fi.bin""}"
load_golden_socs_aerial,PASS,0.000730539,{}
load_golden_tcc_aerial,PASS,0.000874457,{}
compare_against_golden,PASS,0.085447564,{}
