step,status,elapsed_seconds,details_json
load_json_config,PASS,0.000085333,{}
load_golden_data,PASS,0.004121589,{}
pcie_h2c_write_mskf_r,PASS,0.005406736,"{""address"": ""0x40000000"", ""bytes"": 4194304, ""mib_per_second"": 739.817885970496}"
pcie_h2c_write_mskf_i,PASS,0.006075276,"{""address"": ""0x40400000"", ""bytes"": 4194304, ""mib_per_second"": 658.4063008123208}"
pcie_h2c_write_scales,PASS,0.000121244,"{""address"": ""0x40800000"", ""bytes"": 40, ""mib_per_second"": 0.31462978574679445}"
pcie_h2c_write_krn_r,PASS,0.000100815,"{""address"": ""0x40880000"", ""bytes"": 11560, ""mib_per_second"": 109.35352053434535}"
pcie_h2c_write_krn_i,PASS,0.000121229,"{""address"": ""0x40900000"", ""bytes"": 11560, ""mib_per_second"": 90.93925566634199}"
pcie_h2c_clear_tmpImg_ddr,PASS,0.000160448,"{""address"": ""0x40980000"", ""bytes"": 65536}"
pcie_h2c_clear_output,PASS,0.000229277,"{""address"": ""0x40990000"", ""bytes"": 65536}"
hls_configure_axilite,PASS,0.001289473,{}
fpga_compute,PASS,0.020470254,"{""ap_ctrl"": ""0x0000000e""}"
pcie_c2h_read_tmpimgp,PASS,0.000201209,"{""bytes"": 65536}"
save_fpga_tmpimgp,PASS,0.000167215,"{""bytes"": 65536, ""path"": ""/root/project/fpga-litho-accel/experiments/runs/E1_multi_mask/T4/fpga_tmpimgp_full_128.bin""}"
host_fi_inverse_aerial,PASS,0.032386837,"{""input_shape"": [128, 128], ""output_shape"": [1024, 1024]}"
save_host_fi_aerial,PASS,0.002003974,"{""bytes"": 4194304, ""path"": ""/root/project/fpga-litho-accel/experiments/runs/E1_multi_mask/T4/fpga_aerial_fi.bin""}"
load_golden_socs_aerial,PASS,0.000886061,{}
load_golden_tcc_aerial,PASS,0.000883793,{}
compare_against_golden,PASS,0.085749075,{}
