step,status,elapsed_seconds,details_json
load_json_config,PASS,0.000065042,{}
load_golden_data,PASS,0.004121740,{}
pcie_h2c_write_mskf_r,PASS,0.005687359,"{""address"": ""0x40000000"", ""bytes"": 4194304, ""mib_per_second"": 703.3141392859858}"
pcie_h2c_write_mskf_i,PASS,0.008494898,"{""address"": ""0x40400000"", ""bytes"": 4194304, ""mib_per_second"": 470.87086859688804}"
pcie_h2c_write_scales,PASS,0.000146296,"{""address"": ""0x40800000"", ""bytes"": 40, ""mib_per_second"": 0.26075198854674264}"
pcie_h2c_write_krn_r,PASS,0.000147315,"{""address"": ""0x40880000"", ""bytes"": 11560, ""mib_per_second"": 74.83606413254032}"
pcie_h2c_write_krn_i,PASS,0.000125957,"{""address"": ""0x40900000"", ""bytes"": 11560, ""mib_per_second"": 87.52570531854215}"
pcie_h2c_clear_tmpImg_ddr,PASS,0.000160994,"{""address"": ""0x40980000"", ""bytes"": 65536}"
pcie_h2c_clear_output,PASS,0.000190077,"{""address"": ""0x40990000"", ""bytes"": 65536}"
hls_configure_axilite,PASS,0.001271160,{}
fpga_compute,PASS,0.020644624,"{""ap_ctrl"": ""0x0000000e""}"
pcie_c2h_read_tmpimgp,PASS,0.000300367,"{""bytes"": 65536}"
save_fpga_tmpimgp,PASS,0.000411986,"{""bytes"": 65536, ""path"": ""/root/project/fpga-litho-accel/experiments/runs/E1_multi_mask/T5/fpga_tmpimgp_full_128.bin""}"
host_fi_inverse_aerial,PASS,0.033343661,"{""input_shape"": [128, 128], ""output_shape"": [1024, 1024]}"
save_host_fi_aerial,PASS,0.002025538,"{""bytes"": 4194304, ""path"": ""/root/project/fpga-litho-accel/experiments/runs/E1_multi_mask/T5/fpga_aerial_fi.bin""}"
load_golden_socs_aerial,PASS,0.000852083,{}
load_golden_tcc_aerial,PASS,0.000791443,{}
compare_against_golden,PASS,0.085448641,{}
